"","stopid","displaystopid","shortname","fullname","shortnamelocalized","fullnamelocalized"
"2168","2641","2641","Inchicore Road","Inchicore Road","Bóthar Inse Chór",""
"2169","2642","2642","Grattan Crescent","Grattan Crescent","Corrán Grattan",""
"2170","2643","2643","Sarsfield Rd","Sarsfield Rd","Br an tSáirséalaigh",""
"2171","2644","2644","Sarsfield Rd","Sarsfield Rd","Br an tSáirséalaigh",""
"2172","2645","2645","Lally Rd","Lally Rd","Br Uí Mhaolalaidh",""
"2173","2646","2646","Decies Road","Decies Road","Bóthar na nDéise",""
"2174","2647","2647","Decies Road","Decies Road","Bóthar na nDéise",""
"2175","2648","2648","Decies Road","Decies Road","Bóthar na nDéise",""
"2176","2649","2649","Decies Road","Decies Road","Bóthar na nDéise",""
"2177","2650","2650","Landen Road","Landen Road","Bóthar Landen",""
"2178","2652","2652","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2179","2653","2653","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2180","2654","2654","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2181","2655","2655","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2182","2656","2656","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2183","2657","2657","Clifden Road","Clifden Road","Bóthar an Chlocháin",""
"2184","2658","2658","Clifden Road","Clifden Road","Bóthar an Chlocháin",""
"2185","2659","2659","Clifden Road","Clifden Road","Bóthar an Chlocháin",""
"2186","2660","2660","Cherry Orchard Ave","Cherry Orchard Ave","Asc Ghort na Silíní",""
"2187","2661","2661","Cherry Orchard Ave","Cherry Orchard Ave","Asc Ghort na Silíní",""
"2188","2662","2662","Cherry Orchard Ave","Cherry Orchard Ave","Asc Ghort na Silíní",""
"2189","2663","2663","Cherry Orchard Ave","Cherry Orchard Ave","Asc Ghort na Silíní",""
"2190","2664","2664","Cherry Orchard Ave","Cherry Orchard Ave","Asc Ghort na Silíní",""
"2191","2665","2665","Cherry Orchard Ave","Cherry Orchard Ave","Asc Ghort na Silíní",""
"2192","2666","2666","Raheen Park","Raheen Park","Páirc an Ráithín",""
"2193","2667","2667","Clifden Road","Clifden Road","Bóthar an Chlocháin",""
"2194","2668","2668","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2195","2669","2669","Fortunestown Way","Fortunestown Way","Slí Bhaile Uí Fhoir",""
"2196","2670","2670","Spiddal Road","Spiddal Road","Bóthar an Spidéil",""
"2197","2672","2672","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2198","2673","2673","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2199","2674","2674","Coldcut Rd","Coldcut Rd","Br na Botha Fuaire",""
"2200","2675","2675","Coldcut Rd","Coldcut Rd","Br na Botha Fuaire",""
"2201","2676","2676","Lucan","Lucan","Leamhcán",""
"2202","2678","2678","Fonthill Rd","Fonthill Rd","Br Chnoc an Fhuarái",""
"2203","2679","2679","Fonthill Rd","Fonthill Rd","Br Chnoc an Fhuarái",""
"2204","2680","2680","Fonthill Rd","Fonthill Rd","Br Chnoc an Fhuarái",""
"2205","2681","2681","Fonthill Rd","Fonthill Rd","Br Chnoc an Fhuarái",""
"2206","2682","2682","Fonthill Rd","Fonthill Rd","Br Chnoc an Fhuarái",""
"2207","2685","2685","Coldcut Rd","Coldcut Rd","Br na Botha Fuaire",""
"2208","2686","2686","Coldcut Rd","Coldcut Rd","Br na Botha Fuaire",""
"2209","2687","2687","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2210","2688","2688","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2211","2689","2689","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2212","2696","2696","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2213","2697","2697","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2214","2700","2700","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2215","2701","2701","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2216","2702","2702","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2217","2703","2703","Thomond Road","Thomond Road","Bóthar Thuamhan",""
"2218","2704","2704","Decies Road","Decies Road","Bóthar na nDéise",""
"2219","2706","2706","Decies Road","Decies Road","Bóthar na nDéise",""
"2220","2708","2708","Decies Road","Decies Road","Bóthar na nDéise",""
"2221","2709","2709","Sarsfield Rd","Sarsfield Rd","Br an tSáirséalaigh",""
"2222","2710","2710","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2223","2711","2711","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2224","2712","2712","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2225","2713","2713","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2226","2714","2714","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2227","2715","2715","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2228","2716","2716","Ballyfermot Rd","Ballyfermot Rd","Br Bhaile Formaid",""
"2229","2717","2717","West Road","West Road","An Bóthar Thiar",""
"2230","2718","2718","Sarsfield Rd","Sarsfield Rd","Br an tSáirséalaigh",""
"2231","2719","2719","Sarsfield Rd","Sarsfield Rd","Br an tSáirséalaigh",""
"2232","2720","2720","Church Road","Church Road","Bóthar an Teampaill",""
"2233","2721","2721","Con Colbert Rd","Con Colbert Rd","Br Choinn Colbaird",""
"2234","2722","2722","Con Colbert Rd","Con Colbert Rd","Br Choinn Colbaird",""
"2235","2725","2725","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2236","2726","2726","Long Mile Rd","Long Mile Rd","Br an Mhíle Fhada",""
"2237","2727","2727","Long Mile Rd","Long Mile Rd","Br an Mhíle Fhada",""
"2238","2728","2728","Walkinstown Ave","Walkinstown Ave","AsclBhaile Bhailcín",""
"2239","2729","2729","Walkinstown Ave","Walkinstown Ave","AsclBhaile Bhailcín",""
"2240","2730","2730","Walkinstown Ave","Walkinstown Ave","AsclBhaile Bhailcín",""
"2241","2733","2733","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2242","2734","2734","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2243","2735","2735","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2244","2736","2736","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2245","2737","2737","Sylvan Drive","Sylvan Drive","Céide na Coille",""
"2246","2738","2738","Sylvan Drive","Sylvan Drive","Céide na Coille",""
"2247","2739","2739","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2248","2740","2740","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2249","2741","2741","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2250","2742","2742","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2251","2743","2743","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2252","2745","2745","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2253","2746","2746","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2254","2747","2747","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2255","2748","2748","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2256","2750","2750","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2257","2751","2751","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2258","2752","2752","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2259","2753","2753","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2260","2754","2754","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2261","2755","2755","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2262","2756","2756","Cookstown Rd","Cookstown Rd","Br Bhaile an Chócai",""
"2263","2762","2762","Belgard Road","Belgard Road","Bóthar Belgard",""
"2264","2763","2763","Belgard Road","Belgard Road","Bóthar Belgard",""
"2265","2764","2764","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2266","2765","2765","Sylvan Drive","Sylvan Drive","Céide na Coille",""
"2267","2766","2766","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2268","2767","2767","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2269","2768","2768","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2270","2769","2769","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2271","2770","2770","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2272","2771","2771","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2273","2772","2772","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2274","2773","2773","Ballymount Rd","Ballymount Rd","Br Bhaile an Mhóta",""
"2275","2774","2774","Walkinstown Ave","Walkinstown Ave","AsclBhaile Bhailcín",""
"2276","2775","2775","Walkinstown Ave","Walkinstown Ave","AsclBhaile Bhailcín",""
"2277","2777","2777","Walkinstown Ave","Walkinstown Ave","AsclBhaile Bhailcín",""
"2278","2778","2778","Long Mile Rd","Long Mile Rd","Br an Mhíle Fhada",""
"2279","2780","2780","Walkinstown Ave","Walkinstown Ave","AsclBhaile Bhailcín",""
"2280","2781","2781","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2281","2782","2782","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2282","2783","2783","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2283","2784","2784","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2284","2785","2785","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2285","2786","2786","Kylemore Rd","Kylemore Rd","Br na Coille Móire",""
"2286","2787","2787","Walkinstown Ave","Walkinstown Ave","AsclBhaile Bhailcín",""
"2287","2788","2788","Castlewood Ave","Castlewood Ave","Asc Choill an Chais",""
"2288","2789","2789","Charleston Road","Charleston Road","Bóthar Charleston",""
"2289","2790","2790","Charleston Road","Charleston Road","Bóthar Charleston",""
"2290","2791","2791","Charleston Road","Charleston Road","Bóthar Charleston",""
"2291","2793","2793","Belgrave Sq","Belgrave Sq","Cearnóg Belgrave",""
"2292","2794","2794","Castlewood Ave","Castlewood Ave","Asc Choill an Chais",""
"2293","2795","2795","Leeson St","Leeson St","Sráid Líosain",""
"2294","2796","2796","Pembroke Road","Pembroke Road","Bóthar Pheambróg",""
"2295","2797","2797","Pembroke Road","Pembroke Road","Bóthar Pheambróg",""
"2296","2798","2798","Pembroke Road","Pembroke Road","Bóthar Pheambróg",""
"2297","2799","2799","Pembroke Road","Pembroke Road","Bóthar Pheambróg",""
"2298","2800","2800","Sandymount Ave","Sandymount Ave","Ascl Dhumhach Thrá",""
"2299","2801","2801","Sandymount Ave","Sandymount Ave","Ascl Dhumhach Thrá",""
"2300","2804","2804","Strand Road","Strand Road","Bóthar na Trá",""
"2301","2806","2806","Sandymount Ave","Sandymount Ave","Ascl Dhumhach Thrá",""
"2302","2807","2807","Sandymount Ave","Sandymount Ave","Ascl Dhumhach Thrá",""
"2303","2808","2808","Sandymount Ave","Sandymount Ave","Ascl Dhumhach Thrá",""
"2304","2809","2809","Westland Row","Westland Row","Rae an Iarthair",""
"2305","2810","2810","Merrion Square","Merrion Square","Cearnóg Mhuirfean",""
"2306","2811","2811","Merrion Street","Merrion Street","Sráid Mhuirfean",""
"2307","2812","2812","Charlemont Street","Charlemont Street","Sráid Charlemont",""
"2308","2813","2813","Ranelagh Road","Ranelagh Road","Bóthar Raghnallach",""
"2309","2814","2814","Ranelagh Road","Ranelagh Road","Bóthar Raghnallach",""
"2310","2815","2815","Milltown Rd","Milltown Rd","Br Bhaile an Mhuili",""
"2311","2816","2816","Milltown Rd","Milltown Rd","Br Bhaile an Mhuili",""
"2312","2817","2817","Milltown Rd","Milltown Rd","Br Bhaile an Mhuili",""
"2313","2818","2818","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2314","2819","2819","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2315","2820","2820","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2316","2822","2822","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2317","2823","2823","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2318","2824","2824","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2319","2825","2825","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2320","2826","2826","Dundrum","Dundrum","Dún Droma",""
"2321","2827","2827","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2322","2828","2828","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2323","2829","2829","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2324","2830","2830","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2325","2831","2831","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2326","2832","2832","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2327","2833","2833","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2328","2835","2835","Sandyford","Sandyford","Áth an Ghainimh",""
"2329","2836","2836","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2330","2837","2837","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2331","2838","2838","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2332","2839","2839","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2333","2840","2840","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2334","2841","2841","Sandyford Rd","Sandyford Rd","Br Áth an Ghainimh",""
"2335","2842","2842","Ballinteer Rd","Ballinteer Rd","Br Bhaile an tSaoir",""
"2336","2843","2843","Ballinteer Rd","Ballinteer Rd","Br Bhaile an tSaoir",""
"2337","2844","2844","Ballinteer Rd","Ballinteer Rd","Br Bhaile an tSaoir",""
"2338","2845","2845","Wyckham Way","Wyckham Way","Slí Wyckham",""
"2339","2846","2846","Ballinteer Ave","Ballinteer Ave","AscBhaile an tSaoir",""
"2340","2847","2847","Ballinteer Ave","Ballinteer Ave","AscBhaile an tSaoir",""
"2341","2848","2848","Broadford Rd","Broadford Rd","Br an Átha Leathain",""
"2342","2849","2849","Broadford Rd","Broadford Rd","Br an Átha Leathain",""
"2343","2850","2850","Broadford Rd","Broadford Rd","Br an Átha Leathain",""
"2344","2851","2851","Broadford Rd","Broadford Rd","Br an Átha Leathain",""
"2345","2852","2852","Broadford Rd","Broadford Rd","Br an Átha Leathain",""
"2346","2853","2853","Broadford Rd","Broadford Rd","Br an Átha Leathain",""
"2347","2854","2854","Broadford Rd","Broadford Rd","Br an Átha Leathain",""
"2348","2855","2855","Broadford Rd","Broadford Rd","Br an Átha Leathain",""
"2349","2856","2856","Broadford Rd","Broadford Rd","Br an Átha Leathain",""
"2350","2857","2857","Broadford Rd","Broadford Rd","Br an Átha Leathain",""
"2351","2858","2858","Ballinteer Ave","Ballinteer Ave","AscBhaile an tSaoir",""
"2352","2859","2859","Ballinteer Ave","Ballinteer Ave","AscBhaile an tSaoir",""
"2353","2860","2860","Ballinteer Ave","Ballinteer Ave","AscBhaile an tSaoir",""
"2354","2861","2861","Wyckham Way","Wyckham Way","Slí Wyckham",""
"2355","2862","2862","Ballinteer Rd","Ballinteer Rd","Br Bhaile an tSaoir",""
"2356","2863","2863","Ballinteer Rd","Ballinteer Rd","Br Bhaile an tSaoir",""
"2357","2864","2864","Ballinteer Rd","Ballinteer Rd","Br Bhaile an tSaoir",""
"2358","2865","2865","Dundrum","Dundrum","Dún Droma",""
"2359","2866","2866","Dundrum","Dundrum","Dún Droma",""
"2360","2867","2867","Churchtown Road","Churchtown Road","Bóthar an Teampaill",""
"2361","2868","2868","Churchtown Rd","Churchtown Rd","Br Bhaile an Teampa",""
"2362","2872","2872","Kilmacud Rd","Overend Way","Br Chill Mochuda",""
"2363","2873","2873","Kilmacud Rd","Knocknashee","Br Chill Mochuda",""
"2364","2874","2874","Kilmacud Rd","Eden Park Avenue","Br Chill Mochuda",""
"2365","2877","2877","Kilmacud Rd","Hazel Villas","Br Chill Mochuda",""
"2366","2878","2878","Kilmacud Rd","Kilmacud Avenue","Br Chill Mochuda",""
"2367","2879","2879","Kilmacud Rd","Marsham Court","Br Chill Mochuda",""
"2368","2880","2880","Kilmacud Rd","Kilmacud Avenue","Br Chill Mochuda",""
"2369","2882","2882","Kilmacud Rd","Lakelands Lawn","Br Chill Mochuda",""
"2370","2883","2883","Kilmacud Rd","Sweet Briar Lane","Br Chill Mochuda",""
"2371","2885","2885","Kilmacud Rd","Eden Park Avenue","Br Chill Mochuda",""
"2372","2886","2886","Kilmacud Rd","Knocknashee","Br Chill Mochuda",""
"2373","2887","2887","Kilmacud Rd","Birches Lane","Br Chill Mochuda",""
"2374","2892","2892","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2375","2893","2893","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2376","2894","2894","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2377","2895","2895","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2378","2896","2896","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2379","2897","2897","Dundrum Road","Dundrum Road","Bóthar Dhún Droma",""
"2380","2898","2898","Milltown Rd","Milltown Rd","Br Bhaile an Mhuili",""
"2381","2899","2899","Milltown Rd","Milltown Rd","Br Bhaile an Mhuili",""
"2382","2900","2900","Ranelagh Road","Ranelagh Road","Bóthar Raghnallach",""
"2383","2901","2901","Ranelagh Road","Ranelagh Road","Bóthar Raghnallach",""
"2384","2902","2902","Ranelagh Road","Ranelagh Road","Bóthar Raghnallach",""
"2385","2903","2903","Charlemont Street","Charlemont Street","Sráid Charlemont",""
"2386","2905","2905","Merrion Sq West","Merrion Sq West","Cg Mhuirfean Thiar",""
"2387","2906","2906","Blackditch Rd","Blackditch Rd","Br an Chlaí Dhuibh",""
"2388","2907","2907","Blackditch Rd","Blackditch Rd","Br an Chlaí Dhuibh",""
"2389","2908","2908","Oranmore Road","Oranmore Road","Bóthar Órán Mór",""
"2390","2909","2909","Cherry Orchard Ave","Cherry Orchard Ave","Asc Ghort na Silíní",""
"2391","2910","2910","Spiddal Road","Spiddal Road","Bóthar an Spidéil",""
"2392","2911","2911","Blackditch Rd","Blackditch Rd","Br an Chlaí Dhuibh",""
"2393","2912","2912","Parliament St","Parliament St","Sr na Parlaiminte",""
"2394","2914","2914","Orwell Road","Orwell Road","Bóthar Orwell",""
"2395","2915","2915","Zion Road","Zion Road","Bóthar Shióin",""
"2396","2916","2916","Bushy Park Rd","Bushy Park Rd","Br Pháirc na dTor",""
"2397","2917","2917","Bushy Park Rd","Bushy Park Rd","Br Pháirc na dTor",""
"2398","2918","2918","Bushy Park Rd","Bushy Park Rd","Br Pháirc na dTor",""
"2399","2919","2919","Willbrook Rd","Willbrook Rd","Br Shruthán Liam",""
"2400","2920","2920","Willbrook Rd","Willbrook Rd","Br Shruthán Liam",""
"2401","2921","2921","Willbrook Rd","Willbrook Rd","Br Shruthán Liam",""
"2402","2922","2922","Ballyboden Rd","Ballyboden Rd","Br Bhaile Baodáin",""
"2403","2923","2923","Ballyboden Rd","Ballyboden Rd","Br Bhaile Baodáin",""
"2404","2924","2924","Ballyboden Rd","Ballyboden Rd","Br Bhaile Baodáin",""
"2405","2925","2925","Ballyboden Rd","Ballyboden Rd","Br Bhaile Baodáin",""
"2406","2927","2927","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"2407","2929","2929","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"2408","2930","2930","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"2409","2933","2933","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"2410","2934","2934","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"2411","2935","2935","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"2412","2936","2936","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"2413","2937","2937","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"2414","2938","2938","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"2415","2940","2940","Edmondstown Rd","Edmondstown Rd","Br Bhaile Éamainn",""
"2416","2941","2941","Ballyboden Rd","Ballyboden Rd","Br Bhaile Baodáin",""
"2417","2942","2942","Ballyboden Rd","Ballyboden Rd","Br Bhaile Baodáin",""
"2418","2943","2943","Ballyboden Rd","Ballyboden Rd","Br Bhaile Baodáin",""
"2419","2944","2944","Ballyboden Rd","Ballyboden Rd","Br Bhaile Baodáin",""
"2420","2945","2945","Ballyboden Rd","Ballyboden Rd","Br Bhaile Baodáin",""
"2421","2946","2946","Willbrook Rd","Willbrook Rd","Br Shruthán Liam",""
"2422","2947","2947","Willbrook Rd","Willbrook Rd","Br Shruthán Liam",""
"2423","2948","2948","Taylors Lane","Taylors Lane","Lána an Táilliúraig",""
"2424","2949","2949","Taylors Lane","Taylors Lane","Lána an Táilliúraig",""
"2425","2950","2950","Taylors Lane","Taylors Lane","Lána an Táilliúraig",""
"2426","2954","2954","Whitechurch Green","Whitechurch Green","Faiche an Teampaill",""
"2427","2955","2955","Whitechurch Green","Whitechurch Green","Faiche an Teampaill",""
"2428","2956","2956","Whitechurch Green","Whitechurch Green","Faiche an Teampaill",""
"2429","2957","2957","McKee Avenue","McKee Avenue","Ascaill Mhic Aoidh",""
"2430","2958","2958","McKee Avenue","McKee Avenue","Ascaill Mhic Aoidh",""
"2431","2959","2959","Blanchardstown Cent","Blanchardstown Centre","Lárionad Bhaile Bhl",""
"2432","2960","2960","Blanchardstown","Blanchardstown","Baile Bhlainséir",""
"2433","2961","2961","Auburn Ave","Auburn Ave","Asc Achadh naGréine",""
"2434","2962","2962","Killarney Lane","Killarney Lane","Lána Chill Easpaigh",""
"2435","2963","2963","Herbert Road","Herbert Road","Bóthar Hoirbeaird",""
"2436","2964","2964","Kilbride Lane","Kilbride Lane","Lána Chill Bhríde",""
"2437","2965","2965","Whitechurch Rd","Whitechurch Rd","Br an Teampaill Ghi",""
"2438","2966","2966","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2439","2967","2967","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2440","2968","2968","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2441","2969","2969","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2442","2970","2970","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2443","2971","2971","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2444","2975","2975","Brehon Field Rd","Brehon Field Rd","Br Ghort an Bhreith",""
"2445","2976","2976","Brehon Field Rd","Brehon Field Rd","Br Ghort an Bhreith",""
"2446","2977","2977","Brehon Field Rd","Brehon Field Rd","Br Ghort an Bhreith",""
"2447","2978","2978","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2448","2979","2979","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2449","2980","2980","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2450","2981","2981","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2451","2983","2983","Taylors Lane","Taylors Lane","Lána an Táilliúraig",""
"2452","2984","2984","Taylors Lane","Taylors Lane","Lána an Táilliúraig",""
"2453","2985","2985","Bushy Park Rd","Bushy Park Rd","Br Pháirc na dTor",""
"2454","2986","2986","Bushy Park Rd","Bushy Park Rd","Br Pháirc na dTor",""
"2455","2988","2988","Zion Road","Zion Road","Bóthar Shióin",""
"2456","2989","2989","Orwell Road","Orwell Road","Bóthar Orwell",""
"2457","2990","2990","Orwell Road","Orwell Road","Bóthar Orwell",""
"2458","2991","2991","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2459","2992","2992","Grange Road","Grange Road","Bóthar na Gráinsí",""
"2460","2993","2993","Herbert Road","Herbert Road","Bóthar Hoirbeaird",""
"2461","2994","2994","Killarney Lane","Killarney Lane","Lána Chill Easpaigh",""
"2462","2995","2995","Clonkeen Rd","Clonkeen Rd","Br Chluain Caoin",""
"2463","2996","2996","Bray Road","Bray Road","Bóthar Bhré",""
"2464","2997","2997","Main Street Bray","Main Street Bray","An tSráid Mhór Bré",""
"2465","2998","2998","Braemor Park","Braemor Park","Páirc Braemor",""
"2466","2999","2999","Orwell Road","Orwell Road","Bóthar Orwell",""
"2467","3000","3000","Orwell Road","Orwell Road","Bóthar Orwell",""
"2468","3001","3001","Orwell Road","Orwell Road","Bóthar Orwell",""
"2469","3002","3002","Orwell Road","Orwell Road","Bóthar Orwell",""
"2470","3003","3003","Ballycullen Ave","Ballycullen Ave","Asc Bhaile Uí Chuil",""
"2471","3004","3004","Ballycullen Ave","Ballycullen Ave","Asc Bhaile Uí Chuil",""
"2472","3005","3005","Ballycullen Ave","Ballycullen Ave","Asc Bhaile Uí Chuil",""
"2473","3006","3006","Ballycullen Rd","Ballycullen Rd","Br Bhaile Uí Chuili",""
"2474","3007","3007","Ballycullen Rd","Ballycullen Rd","Br Bhaile Uí Chuili",""
"2475","3008","3008","Celbridge Rd","Celbridge Rd","Br Chill Droichid",""
"2476","3011","3011","Bird Avenue","Bird Avenue","Ascaill na nÉan",""
"2477","3012","3012","Bird Avenue","Bird Avenue","Ascaill na nÉan",""
"2478","3014","3014","Goatstown Rd","Goatstown Rd","Br Bhaile na nGabha",""
"2479","3015","3015","Goatstown Rd","Goatstown Rd","Br Bhaile na nGabha",""
"2480","3016","3016","Goatstown Rd","Goatstown Rd","Br Bhaile na nGabha",""
"2481","3017","3017","Goatstown Rd","Goatstown Rd","Br Bhaile na nGabha",""
"2482","3018","3018","Drummartin Rd","Drummartin Rd","Br Dhroim Máirtín",""
"2483","3019","3019","Drummartin Rd","Drummartin Rd","Br Dhroim Máirtín",""
"2484","3020","3020","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"2485","3021","3021","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"2486","3022","3022","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"2487","3023","3023","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"2488","3024","3024","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"2489","3025","3025","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"2490","3026","3026","Drummartin Rd","Drummartin Rd","Br Dhroim Máirtín",""
"2491","3027","3027","Kilmacud Rd","Kilmacud Rd","Br Chill Mochuda",""
"2492","3028","3028","Goatstown Rd","Goatstown Rd","Br Bhaile na nGabha",""
"2493","3029","3029","Goatstown Rd","Goatstown Rd","Br Bhaile na nGabha",""
"2494","3030","3030","Goatstown Rd","Goatstown Rd","Br Bhaile na nGabha",""
"2495","3031","3031","Goatstown Rd","Goatstown Rd","Br Bhaile na nGabha",""
"2496","3032","3032","Rock Road","Rock Road","Bóthar na Carraige",""
"2497","3033","3033","Blackrock","Blackrock","An Charraig Dhubh",""
"2498","3034","3034","Temple Road","Temple Road","Bóthar an Teampaill",""
"2499","3036","3036","Monkstown Rd","Monkstown Rd","Br Bhaile na Manach",""
"2500","3037","3037","Monkstown Rd","Monkstown Rd","Br Bhaile na Manach",""
"2501","3038","3038","Monkstown Rd","Monkstown Rd","Br Bhaile na Manach",""
