"","stopid","displaystopid","shortname","fullname","shortnamelocalized","fullnamelocalized"
"9024","554801","554801","Sea Road","Sea Road (Opp Carbury Cove)","Bóthar na Mara",""
"9025","554811","554811","Sea Road","Sea Road (Sraid Na Mara)","Bóthar na Mara",""
"9026","554821","554821","Sea Road","Sea Road (Carbury Cove)","Bóthar na Mara",""
"9027","554831","554831","Sheehaun X","Sheehaun Cross (Advance Pitstop)","X an Sián",""
"9028","554841","554841","Shrule","Shrule (Castle Ruin)","Sruthair",""
"9029","554851","554851","Second Sea Road","Second Sea Road (Aylesbury Park)","",""
"9030","554861","554861","Connaughton Road","Connaughton Road (City View)","",""
"9031","554871","554871","Connaughton Road","Connaughton Road (Opp City View)","",""
"9032","554881","554881","Clarion Road","Clarion Road (Clarion Village)","",""
"9033","554901","554901","Opp Parish Church","Rosses Point (Opp Parish Church)","",""
"9034","554911","554911","Ballinode","Ballinode (Molloway Hill)","",""
"9035","554921","554921","Cartron","Cartron (Opp Village Inn)","An Cartrún",""
"9036","554931","554931","Ballytivnan","Ballytivnan (St Josephs School)","Bl. Uí Theimhneáin",""
"9037","554941","554941","Ballytivnan","Ballytivnan (Church View Crescent)","Bl. Uí Theimhneáin",""
"9038","554951","554951","Killala","Killala (McGregors)","Cill Ala",""
"9039","554961","554961","Ballycastle","Ballycastle (Main St Katie Macs)","Baile an Chaisil",""
"9040","554971","554971","Doorly Park","Doorly Park (New Green Area)","",""
"9041","554991","554991","Straide P.O.","Straide (Post Office)","O.P. na Sráide",""
"9042","555021","555021","Cleveragh Road","Cleveragh Road (Bus Shelter)","",""
"9043","555031","555031","Opp Cemetery Road","Pearse Road (Opp Cemetery Road Jctn)","",""
"9044","555041","555041","Galway Bus Station","Galway (Bus Station)","Busáras",""
"9045","555051","555051","Ballina Bus Station","Ballina (Bus Station)","Busáras Bh. an Átha",""
"9046","555061","555061","Cartron","Cartron (Seafield Avenue)","An Cartrún",""
"9047","555071","555071","The Arch","The Arch (Westbound)","The Arch",""
"9048","555081","555081","Sligo (Bus Station)","Sligo (Bus Station)","Sligeach (Busáras)",""
"9049","555091","555091","Drumcliffe","Drumcliffe (Opp Round Tower)","Droim Chliabh",""
"9050","555101","555101","Athlone Bus Station","Athlone (Bus Station)","Baile Átha Luain",""
"9051","555111","555111","Athlone A I T","Garrycastle Road (Athlone IT)","IT Bhl. Átha Luain",""
"9052","555121","555121","Tierneys x","Tierneys Cross (Opp Shrine)","X Tierneys",""
"9053","555131","555131","Langs Main Street","Grange (Langs Main Street)","An Ghráinseach ",""
"9054","555161","555161","Tonroe Cross","Tonroe Cross (Southbound)","X na Tóna Rua",""
"9055","555181","555181","Toombeola Bridge","Toombeola Bridge (Westbound)","Dr. Thuaim Beola",""
"9056","555191","555191","Tooreen Road","Tooreen Road (Southbound)","Bóthar an Tuairín",""
"9057","555201","555201","Farragh Cross","Farragh Cross","Crosaire Farragh",""
"9058","555221","555221","Dromore West","Dromore West (Opposite Coffee Shop)","An Droim Mór Thiar",""
"9059","555231","555231","Tubbercurry","Tubbercurry (Wolfe Tone Square)","Tobar an Choire",""
"9060","555251","555251","Elliot's Corner","Elliots Corner (Southbound)","Coirnéal Elliot's",""
"9061","555261","555261","Turlough","Turlough (Community Centre)","An Turlach",""
"9062","555271","555271","Turloughmore","Turloughmore (Opp Cavanaghs Bar)","An Turlach Mór",""
"9063","555291","555291","Sligo Hospital","Sligo University Hospital","Ospidéal Shligigh",""
"9064","555311","555311","Wakefield School","Wakefield School (Westbound)","Scoil Wakefield",""
"9065","555341","555341","Wakefield School","Wakefield School (Eastbound)","Scoil Wakefield",""
"9066","555351","555351","Moygownagh Chapel","Moygownagh (Opp Church)","Eagl. Mhaigh Ghamh.",""
"9067","555371","555371","Claremorris","Claremorris (Dalton St Leisure Centre)","Clár ChlainneMhuir.",""
"9068","555381","555381","Knock (St Anne's)","Knock (Main St Colemans)","Cnoc Mhuire",""
"9069","555411","555411","Loughrea (Moylan's)","Loughrea (Beattys)","Baile Locha Riach",""
"9070","555421","555421","Ballinasloe","Ballinasloe (Haydens Hotel Dunlo St)","BéalÁtha naSluaighe",""
"9071","555431","555431","Parkmore Ind Estate","Parkmore Rd (Parkmore Ind Est)","Br na Páirce Móire",""
"9072","555471","555471","Pontoon","Pontoon (Ball Alley)","Pontún",""
"9073","555481","555481","RC Church","Rosses Point (RC Church)","",""
"9074","555501","555501","Nogra","Nogra (Travellers Inn)","Nogra",""
"9075","555511","555511","Nogra","Nogra (Opp Travellers Inn)","Nogra",""
"9076","555521","555521","Moylough","Moylough (Garda Station)","Maigh Locha",""
"9077","555531","555531","Opp RC Church","Rosses Point (Opp RC Church)","An Ros",""
"9078","555551","555551","Clydagh Cross","Clydagh Cross (Mayo)","",""
"9079","555561","555561","Tullyhill","Tullyhill Junction (Northbound)","Tullyhill",""
"9080","555581","555581","Carney","Carney (Opp Bradys Bar)","Fearann Uí Chearn.",""
"9081","555591","555591","Strandhill","Strandhill (Shore Road Car Park)","An Leathros",""
"9082","555611","555611","Roscommon Hospital","Roscommon Hospital","Ospidéal Ros Comáin",""
"9083","555621","555621","Ardrahan","Ardrahan (Opp Garda Station)","Ard Raithin",""
"9084","555631","555631","Carrigeen","Carrigeen (Opposite Rodgers)","",""
